message_id,date,sender_id,first_name,last_name,username,message,reply_to
977,2025-04-20 18:27:46,-1001914485153,,,,"#JWIF is holding strong above horizontal support here on higher timeframe 

Also The falling wedge has officially formed and it’s now testing the base. This is a textbook type breakout setup🚀

High conviction, high reward. The window’s open — don’t be late to the move🔥

BUY ON MEXC: https://www.mexc.com/exchange/JWIF_USDT

BUY ON BINGX: https://bingx.com/en/spot/JWIFUSDT/",972
976,2025-04-20 17:23:41,-1001914485153,,,,"#JWIF IS READY TO EXPLODE like anything 🚀

Memecoins are waking up and showing early sign of strength this is your chance to buy in accumulation phase before 5x-10x rally 

Don’t be a sideliner Just buy and hold it on #BingX 🚀

https://bingx.com/en/spot/JWIFUSDT/",
975,2025-04-20 17:05:57,-1001914485153,,,,"Best time to buy #JWIF is now 

#JWIF is preparing for a rally the world has never seen. This price isn’t a dip — it’s a gift shaped by global turmoil What you’re witnessing is a price due to tariff war 

Just buy and hold this for moonshot which is inevitable 🚀",
974,2025-04-20 17:03:54,-1001914485153,,,,"Why is #JWIF is a must buy here 

#JWIF is heavily undervalued meme coin available in the market with a strong community

Also #JWIF team announced massive partnership coming within few days which will definitely ignite massive rally fo it anytime 🚀

🔗 TWEET: https://x.com/Jerrywifcoin/status/1914001857963254076?t=ewtWgnjmmd1pkg-QjVhDSg&s=19",
973,2025-04-20 17:02:11,-1001914485153,,,,"#JWIF/USDT

Looks ready for a triangle breakout on the 8H timeframe, also forming a strong double bottom pattern.

It looks like the accumulation phase is over, and the chart is shaping up for a monster breakout.

A massive 5x-10x rally could start at any moment — don’t miss it!

GET IN NOW🚀✌️",
972,2025-04-20 17:00:33,-1001914485153,,,,"Buying #JWIF here on MEXC: 
https://www.mexc.com/exchange/JWIF_USDT

Formation of falling wedge pattern on higher timeframe and looks like it’s bottomed out here 

R:R looks very good here✌️

Expecting breakout anytime soon so buy and hold it for moonshot 🚀

Short term targets: +500%",
967,2025-04-09 16:51:12,-1001914485153,,,,"#FUN/USDT

More than 300% quick profits so far with Leverage 10X🚀✌️

Our team is working hard to identify the best TA+FA based calls for our community. Stay tuned to the channel and pin it to ensure you never miss out on any crucial updates. Also share our channel with your friends and family. Let's soar to new heights together! Keep Earning🙌",965
966,2025-04-08 17:39:41,-1001914485153,,,,"#FUN is set for a monster rally🚀

Darvas box breakout is the sign of a 2x move in altcoins

This could be your perfect entry point so don’t let this slip away✌️☑️",963
965,2025-04-08 17:10:18,-1001914485153,,,,"Why #FUN is a must buy here 

#FUN pumped hard during the tariff war while the global markets were collapsing shows the unstoppable strength🔥

Also #FUN team announced incredibly bullish roadmap packed with alot of bullish stuffs and massive partnerships things will turn very bullish for #FUN ANYTIME soon🚀

🔗Tweet: https://x.com/FUNtoken_io/status/1909653351270129974",
964,2025-04-08 17:03:37,-1001914485153,,,,"Buying #FUN here on Binance: 
https://www.binance.com/en/trade/FUN_USDT

Double Bottom formation on 1H timeframe signaling a major reversal ahead🚀

This setup mirrors a previous fractal that triggered a massive rally few days ago. If you missed that breakout, here’s your second chance to get in before the next big move🔥

Short term targets: 10%-30%-50%",
